id,source,reply_settings,created_at,lang,possibly_sensitive,public_metrics,text,conversation_id,author_id,context_annotations,in_reply_to_user_id,entities,referenced_tweets,geo,attachments
1520651258578800642,Twitter Web App,everyone,2022-05-01T06:28:07.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Thought I was licked (watch it!)...
Wordle 316 5/6
⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜🟨🟨
🟨🟩⬜🟨⬜
🟩🟩🟩🟩🟩",1520651258578800642,62800016,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520651251255586816,Twitter for Android,everyone,2022-05-01T06:28:05.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 316 4/6

🟨🟩⬜⬜⬜
⬜🟩⬜🟨🟨
⬜🟩🟨🟨⬜
🟩🟩🟩🟩🟩",1520651251255586816,251051326,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520651244481753091,Twitter for Android,everyone,2022-05-01T06:28:03.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 316 4/6

⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520651244481753091,1082848747766407168,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520651237024309250,Twitter for Android,everyone,2022-05-01T06:28:01.000Z,en,False,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}","@TebohoRMapetla @Mocats_ @kanonor @Precious_Popi @Tshada_M @Tsepspeare Wordle 316 4/6

⬜⬜⬜⬜⬜
⬜⬜⬜⬜🟩
🟨⬜⬜⬜🟩
🟩🟩🟩🟩🟩",1520583585866170368,1964703835,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",273307914,"{'mentions': [{'start': 0, 'end': 15, 'username': 'TebohoRMapetla', 'id': '273307914'}, {'start': 16, 'end': 24, 'username': 'Mocats_', 'id': '172355169'}, {'start': 25, 'end': 33, 'username': 'kanonor', 'id': '53194478'}, {'start': 34, 'end': 48, 'username': 'Precious_Popi', 'id': '1249935074'}, {'start': 49, 'end': 58, 'username': 'Tshada_M', 'id': '295048391'}, {'start': 59, 'end': 70, 'username': 'Tsepspeare', 'id': '288823017'}]}","[{'type': 'replied_to', 'id': '1520613035529826304'}]",,
1520651236944527360,Twitter for iPhone,everyone,2022-05-01T06:28:01.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 316 X/6

⬛🟨⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟩⬛🟨⬛
🟩🟩⬛⬛⬛
🟩⬛⬛🟨🟨
🟩🟩🟩⬛⬛",1520651236944527360,1321152033227984901,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520651235472388096,Twitter for Android,everyone,2022-05-01T06:28:01.000Z,tr,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Türkçe 316 4/6

⬛⬛⬛⬛🟨
⬛⬛🟩⬛⬛
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩

https://t.co/ftq91S5E5v",1520651235472388096,1278334386627383296,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/ftq91S5E5v', 'expanded_url': 'https://www.bundle.app/wordle-tr/', 'display_url': 'bundle.app/wordle-tr/'}]}",,,
1520651232934776832,Twitter Web App,everyone,2022-05-01T06:28:00.000Z,und,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","وش هالكلمة

Wordle 316 5/6

⬛⬛⬛⬛⬛
🟩⬛🟨⬛⬛
⬛🟩⬛⬛⬛
⬛🟨⬛⬛⬛
🟩🟩🟩🟩🟩",1520651232934776832,3459986486,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520651214119051266,Twitter for iPhone,everyone,2022-05-01T06:27:56.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 316 5/6

⬜⬜⬜⬜⬜
🟩⬜🟨🟨🟨
⬜🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",1520651214119051266,703108701758959616,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520651203931262983,Twitter for iPhone,everyone,2022-05-01T06:27:54.000Z,es,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}","Creo que Wordle necesita mejorar urgentemente sus pistas y precisa de un comité de expertos en la materia. Propongo a @cogitoe24590723 @Dorgaritu @sendaabaetxo 😆😆😆

Wordle (ES)  #115 5/6

⬜⬜⬜⬜🟨
⬜🟩⬜⬜🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/J7w4wvXMHB",1520651203931262983,571087064,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,"{'urls': [{'start': 219, 'end': 242, 'url': 'https://t.co/J7w4wvXMHB', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 118, 'end': 134, 'username': 'cogitoe24590723', 'id': '969591387036545024'}, {'start': 135, 'end': 145, 'username': 'Dorgaritu', 'id': '853745699703459840'}, {'start': 146, 'end': 159, 'username': 'sendaabaetxo', 'id': '982907371637952512'}], 'annotations': [{'start': 9, 'end': 14, 'probability': 0.5297, 'type': 'Person', 'normalized_text': 'Wordle'}]}",,,
1520651199959027712,Twitter for Android,everyone,2022-05-01T06:27:53.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 316 5/6

⬛🟨⬛⬛⬛
⬛🟩⬛⬛⬛
🟨⬛🟨⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",1520651199959027712,374588359,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
